Date,Close/Last,Volume,Open,High,Low
3/22/2018,$306.70 ,7959714,$313.07 ,$314.12 ,$305.66 
3/21/2018,$316.48 ,5061869,$316.35 ,$319.40 ,$314.51 
3/20/2018,$317.50 ,5983240,$313.26 ,$319.50 ,$312.80 
3/19/2018,$313.48 ,9844201,$315.80 ,$317.00 ,$307.34 
3/16/2018,$318.45 ,7315268,$321.42 ,$324.11 ,$318.37 
3/15/2018,$321.09 ,5465467,$323.17 ,$323.40 ,$318.14 
3/14/2018,$321.55 ,10463840,$318.16 ,$323.88 ,$317.70 
3/13/2018,$315.88 ,12878750,$323.87 ,$325.84 ,$313.28 
3/12/2018,$321.30 ,20277420,$333.56 ,$333.98 ,$318.60 
3/9/2018,$331.44 ,14320240,$321.33 ,$331.44 ,$320.23 
3/8/2018,$317.00 ,11366700,$322.20 ,$322.92 ,$314.13 
3/7/2018,$321.16 ,17110740,$320.00 ,$323.74 ,$314.55 
3/6/2018,$325.22 ,18245450,$319.88 ,$325.79 ,$316.50 
3/5/2018,$315.00 ,18957770,$302.85 ,$316.91 ,$297.60 
3/2/2018,$301.05 ,13278500,$284.65 ,$301.18 ,$283.23 
3/1/2018,$290.39 ,11892990,$292.75 ,$295.25 ,$283.83 
2/28/2018,$291.38 ,7501444,$293.10 ,$295.75 ,$290.78 
2/27/2018,$290.61 ,9247414,$294.77 ,$297.36 ,$290.59 
2/26/2018,$294.16 ,10256830,$288.75 ,$295.65 ,$287.01 
2/23/2018,$285.93 ,7292789,$281.00 ,$286.00 ,$277.81 
2/22/2018,$278.14 ,8878337,$283.88 ,$284.50 ,$274.45 
2/21/2018,$281.04 ,9348109,$282.07 ,$286.64 ,$280.01 
2/20/2018,$278.55 ,7754759,$277.74 ,$285.81 ,$276.61 
